 500 | 05:24:37 | Agent:   3.4% (  4.6%) | Market:   2.0% (  3.3%) | Wins: 45.0% | eps:  0.010
 510 | 05:32:55 | Agent:   3.5% (  1.8%) | Market:   1.0% (  2.1%) | Wins: 46.0% | eps:  0.009
 520 | 05:41:13 | Agent:   3.4% (  0.0%) | Market:   1.2% ( -1.6%) | Wins: 44.0% | eps:  0.008
 530 | 05:49:34 | Agent:   2.1% ( -1.5%) | Market:   1.8% (  5.2%) | Wins: 42.0% | eps:  0.007
 540 | 05:57:53 | Agent:   2.4% (  5.2%) | Market:   1.6% (  3.8%) | Wins: 38.0% | eps:  0.007
 550 | 06:06:12 | Agent:   2.0% (  4.6%) | Market:   1.9% (  2.0%) | Wins: 36.0% | eps:  0.006
 560 | 06:14:32 | Agent:   1.9% ( -0.2%) | Market:   2.1% (  2.7%) | Wins: 35.0% | eps:  0.005
 570 | 06:22:52 | Agent:   2.2% (  3.0%) | Market:   2.0% (  0.9%) | Wins: 34.0% | eps:  0.005
 580 | 06:31:14 | Agent:   2.3% (  1.2%) | Market:   1.4% ( -2.1%) | Wins: 34.0% | eps:  0.004
 590 | 06:39:37 | Agent:   1.7% ( -1.6%) | Market:   2.5% (  9.0%) | Wins: 33.0% | eps:  0.004
 600 | 06:48:02 | Agent:   1.6% (  3.5%) | Market:   2.8% (  6.2%) | Wins: 34.0% | eps:  0.004
 610 | 06:56:24 | Agent:   1.5% (  0.8%) | Market:   2.8% (  1.7%) | Wins: 35.0% | eps:  0.003
 620 | 07:04:49 | Agent:   2.0% (  4.6%) | Market:   3.0% (  0.2%) | Wins: 36.0% | eps:  0.003
 630 | 07:13:14 | Agent:   2.5% (  4.1%) | Market:   2.4% ( -0.8%) | Wins: 38.0% | eps:  0.003
 640 | 07:21:39 | Agent:   2.0% ( -0.5%) | Market:   2.2% (  2.3%) | Wins: 40.0% | eps:  0.002
 650 | 07:30:05 | Agent:   1.7% (  1.5%) | Market:   1.9% ( -0.8%) | Wins: 42.0% | eps:  0.002
 660 | 07:38:38 | Agent:   1.6% ( -0.8%) | Market:   1.9% (  2.1%) | Wins: 42.0% | eps:  0.002
 670 | 07:47:28 | Agent:   7.6% ( 62.6%) | Market:   1.6% ( -1.7%) | Wins: 44.0% | eps:  0.002
 680 | 07:56:04 | Agent:   7.3% ( -1.5%) | Market:   2.0% (  1.9%) | Wins: 45.0% | eps:  0.002
 690 | 08:04:41 | Agent:   7.9% (  4.3%) | Market:   1.5% (  3.8%) | Wins: 47.0% | eps:  0.001
 700 | 08:13:09 | Agent:   7.7% (  1.7%) | Market:   1.2% (  3.4%) | Wins: 46.0% | eps:  0.001
 710 | 08:21:39 | Agent:   7.6% (  0.3%) | Market:   1.3% (  2.3%) | Wins: 45.0% | eps:  0.001
 720 | 08:30:09 | Agent:   7.4% (  2.4%) | Market:   1.5% (  2.2%) | Wins: 44.0% | eps:  0.001
 730 | 08:38:43 | Agent:   6.9% ( -0.9%) | Market:   2.4% (  8.1%) | Wins: 41.0% | eps:  0.001
 740 | 08:47:14 | Agent:   9.2% ( 22.7%) | Market:   2.1% (  0.1%) | Wins: 41.0% | eps:  0.001
 750 | 08:55:46 | Agent:   9.4% (  3.7%) | Market:   2.7% (  4.9%) | Wins: 42.0% | eps:  0.001
 760 | 09:04:18 | Agent:   9.4% ( -1.1%) | Market:   3.1% (  6.5%) | Wins: 41.0% | eps:  0.001
 770 | 09:12:51 | Agent:   2.9% ( -2.1%) | Market:   4.1% (  7.7%) | Wins: 41.0% | eps:  0.001
 780 | 09:21:24 | Agent:   3.1% (  0.5%) | Market:   4.5% (  6.5%) | Wins: 38.0% | eps:  0.001
 790 | 09:29:60 | Agent:   2.9% (  2.2%) | Market:   4.9% (  7.0%) | Wins: 38.0% | eps:  0.001
 800 | 09:38:36 | Agent:   2.7% ( -1.0%) | Market:   4.9% (  3.6%) | Wins: 38.0% | eps:  0.000
 810 | 09:47:16 | Agent:   2.3% ( -3.6%) | Market:   5.5% (  8.1%) | Wins: 34.0% | eps:  0.000
 820 | 09:55:55 | Agent:   2.2% (  2.2%) | Market:   5.8% (  5.0%) | Wins: 34.0% | eps:  0.000
 830 | 10:04:34 | Agent:   2.4% (  0.6%) | Market:   4.7% ( -2.6%) | Wins: 36.0% | eps:  0.000
 840 | 10:13:13 | Agent:  -0.0% ( -1.3%) | Market:   5.4% (  7.5%) | Wins: 36.0% | eps:  0.000
 850 | 10:21:56 | Agent:   0.6% (  9.3%) | Market:   4.5% ( -4.1%) | Wins: 37.0% | eps:  0.000
 860 | 10:30:38 | Agent:   0.6% ( -0.9%) | Market:   4.2% (  3.3%) | Wins: 36.0% | eps:  0.000
 870 | 10:39:21 | Agent:   1.2% (  4.2%) | Market:   3.9% (  4.5%) | Wins: 33.0% | eps:  0.000
 880 | 10:49:22 | Agent:   1.2% (  0.6%) | Market:   3.5% (  2.6%) | Wins: 36.0% | eps:  0.000
 890 | 11:00:07 | Agent:   1.5% (  4.8%) | Market:   3.3% (  5.6%) | Wins: 37.0% | eps:  0.000
 900 | 11:10:46 | Agent:   1.5% ( -0.3%) | Market:   3.5% (  5.4%) | Wins: 37.0% | eps:  0.000
 910 | 11:21:21 | Agent:   2.0% (  0.6%) | Market:   3.3% (  6.0%) | Wins: 38.0% | eps:  0.000
 920 | 11:31:58 | Agent:   1.7% ( -0.2%) | Market:   2.9% (  1.2%) | Wins: 37.0% | eps:  0.000
 930 | 11:42:39 | Agent:   1.8% (  1.1%) | Market:   3.5% (  2.7%) | Wins: 35.0% | eps:  0.000
 940 | 11:53:19 | Agent:   2.3% (  4.4%) | Market:   2.6% ( -1.3%) | Wins: 37.0% | eps:  0.000
 950 | 12:04:01 | Agent:   1.8% (  4.0%) | Market:   3.7% (  6.6%) | Wins: 37.0% | eps:  0.000
 960 | 12:14:41 | Agent:   2.4% (  5.3%) | Market:   3.0% ( -3.0%) | Wins: 40.0% | eps:  0.000
 970 | 12:25:24 | Agent:   2.6% (  5.2%) | Market:   2.0% ( -5.9%) | Wins: 46.0% | eps:  0.000
 980 | 12:34:45 | Agent:  10.5% ( 79.8%) | Market:   1.9% (  1.9%) | Wins: 44.0% | eps:  0.000
 990 | 12:43:34 | Agent:   9.9% ( -0.9%) | Market:   1.8% (  4.8%) | Wins: 40.0% | eps:  0.000
1000 | 12:52:11 | Agent:  10.3% (  3.7%) | Market:   1.1% ( -2.3%) | Wins: 41.0% | eps:  0.000
1010 | 00:08:41 | Agent:  10.4% (  1.1%) | Market:   0.5% (  0.6%) | Wins: 45.0% | eps:  0.000
1020 | 00:17:24 | Agent:  10.2% ( -2.2%) | Market:   0.8% (  3.9%) | Wins: 47.0% | eps:  0.000
1030 | 00:26:06 | Agent:   9.7% ( -3.4%) | Market:   0.7% (  2.1%) | Wins: 47.0% | eps:  0.000
